Variable,VIF
const,1.0
UNRATE,2.7524926287132896
HOUST,3.2276076544934353
ISRATIO,2.5394208286923807
T1YFFM,1.5992365371350061
AAAFFM,2.783557899270289
EXUSUK,3.5187972308706557
NASDAQ,2.6432043294054455
P/E,1.6550138342917595
Dividend Yield,2.1478621248342424
