Variable,Coefficient,Std Error,p-value,Odds Ratio
FIN_PC1,-0.37476141378605377,0.16594954101535625,0.023927876371456325,0.6874532761008555
FIN_PC2,-0.7813054252183385,0.1852462144109672,2.4685138360514003e-05,0.4578079869607842
FIN_PC3,-1.393272554996232,0.09006780604030785,0.0,0.24826152429578263
FIN_PC4,1.0820601008797541,0.10830857175284397,0.0,2.950752140925444
FIN_PC5,0.6049192590168816,0.11509232713246828,1.472640909216949e-07,1.8311043577509933
NFIN_PC1,-0.014582990756867498,0.1181185262182804,0.9017423276865502,0.9855228260531668
NFIN_PC2,-0.6551283550100208,0.0993030105801277,4.188094315793478e-11,0.5193753938746227
NFIN_PC3,-0.09129458777335406,0.07219423190634836,0.20602587093230862,0.9127487866576207
NFIN_PC4,0.26801900930197886,0.1780823648904475,0.13231678603261177,1.3073719920077205
