"date","year_quarter","transition_type","count","total_active","share"
2013-04-01,"2013-Q2","No transition",9842427.57698822,13598896.939827,72.376661287599
2013-04-01,"2013-Q2","wage_only → self_wage",42702.4344329834,13598896.939827,0.314013957322679
2013-04-01,"2013-Q2","wage_wage → wage_only",22653.036605835,13598896.939827,0.166579956492583
2013-04-01,"2013-Q2","wage_only → wage_self",21764.1049346924,13598896.939827,0.160043164022753
2013-04-01,"2013-Q2","self_wage → wage_only",19662.0115966797,13598896.939827,0.144585341617641
2013-04-01,"2013-Q2","wage_only → self_only",11372.9938049316,13598896.939827,0.0836317375979493
2013-04-01,"2013-Q2","self_only → self_self",7470.99630737305,13598896.939827,0.0549382522746592
2013-04-01,"2013-Q2","wage_wage → self_wage",6737.73077392578,13598896.939827,0.0495461566018127
2013-04-01,"2013-Q2","self_only → wage_wage",4743.78421020508,13598896.939827,0.0348835955680493
2013-04-01,"2013-Q2","wage_self → wage_only",3833.60101318359,13598896.939827,0.0281905292035574
2013-04-01,"2013-Q2","self_only → wage_only",3263.00134277344,13598896.939827,0.0239946030712029
2013-04-01,"2013-Q2","wage_only → wage_wage",2291.14349365234,13598896.939827,0.0168480098333733
2013-04-01,"2013-Q2","wage_wage → self_only",2252.60110473633,13598896.939827,0.0165645869271879
2013-04-01,"2013-Q2","self_wage → wage_wage",2073.0658416748,13598896.939827,0.0152443676192841
2013-04-01,"2013-Q2","wage_wage → wage_self",1676.76959228516,13598896.939827,0.0123301882476542
2013-04-01,"2013-Q2","wage_self → wage_wage",1141.41250610352,13598896.939827,0.00839341978363459
2013-04-01,"2013-Q2","self_only → self_wage",814.750732421875,13598896.939827,0.00599130014755625
2013-04-01,"2013-Q2","self_only → wage_self",717.474060058594,13598896.939827,0.00527597247948349
2013-04-01,"2013-Q2","self_self → self_only",646.458129882812,13598896.939827,0.00475375416655697
2013-04-01,"2013-Q2","wage_self → self_only",622.166137695312,13598896.939827,0.00457512208856573
2013-04-01,"2013-Q2","wage_self → self_wage",596.690490722656,13598896.939827,0.00438778596060342
2013-04-01,"2013-Q2","wage_self → self_self",398.878967285156,13598896.939827,0.00293317148479126
2013-07-01,"2013-Q3","No transition",9653498.49224854,13809927.1243744,69.9026027096856
2013-07-01,"2013-Q3","wage_only → self_wage",60317.175491333,13809927.1243744,0.436766790643477
2013-07-01,"2013-Q3","self_wage → wage_only",45205.9625396729,13809927.1243744,0.327343961575907
2013-07-01,"2013-Q3","wage_wage → wage_only",25161.2066650391,13809927.1243744,0.182196520216459
2013-07-01,"2013-Q3","wage_only → wage_self",13361.9839477539,13809927.1243744,0.0967563682806851
2013-07-01,"2013-Q3","wage_self → wage_only",8312.46125793457,13809927.1243744,0.0601919270324255
2013-07-01,"2013-Q3","self_only → wage_wage",8263.06806945801,13809927.1243744,0.0598342626651068
2013-07-01,"2013-Q3","wage_only → self_only",6944.96878051758,13809927.1243744,0.050289684499926
2013-07-01,"2013-Q3","wage_only → wage_wage",6888.63739013672,13809927.1243744,0.0498817794481938
