"age3","Hybrid Entrepreneurs","Non-Entrepreneurs","Poly-Entrepreneurs"
"15-29",1.2864725313098,18.6433108661942,14.8109303218225
"30-39",50.9811536022027,51.33934607063,59.070606550685
"50-59",47.7323738664875,30.0173430631758,26.1184631274925
