"category_var","2013-Q1","2013-Q2","2013-Q3","2013-Q4","2014-Q1","2014-Q2","2014-Q3","2014-Q4","2015-Q1","2015-Q2","2015-Q3","2015-Q4","2018-Q1","2018-Q2","2018-Q3","2018-Q4","2019-Q1","2019-Q2","2019-Q3","2019-Q4","2020-Q1","2020-Q2","2020-Q3","2020-Q4"
"Hybrid Entrepreneurs - 1",0,0,0,0,0,0,0,0,29.8948220891256,15.7318935163994,35.4791603405263,53.1494676334681,14.472087151622,0,13.7212726752715,19.9143218131377,0,24.3173248301405,23.5766449437933,45.0411772003105,57.7380394443863,47.0078863918021,42.2428998593297,58.3036898868641
"Hybrid Entrepreneurs - 3",0,69.7265258217883,40.8475375458288,35.9968790600024,28.2048674104596,28.8098102688226,0,0,0,21.761966147196,14.3846667987714,13.9387221802163,48.5491105987014,75.0547022078706,49.3152232992192,34.0877685556181,15.1214832783331,22.7831341944625,42.0205216506311,32.6853044324171,26.2395103472666,6.36590705642669,6.68813104414633,0
"Hybrid Entrepreneurs - 4",100,0,0,0,0,15.5277249268563,46.2528754552924,37.3105770035256,0,23.3328392570393,15.729215186652,17.6113741940637,8.78571689319685,0,7.87552997199581,8.64921484126144,15.1214832783331,0,0,0,0,33.2577670250234,51.0689690965239,17.5197554077614
"Hybrid Entrepreneurs - 5",0,30.2734741782117,59.1524624541712,64.0031209399976,71.7951325895404,55.6624648043211,53.7471245447076,41.3603552868885,46.922782176462,25.1979757613049,23.339335079083,5.88466737355885,28.1930853564798,24.9452977921294,29.0879740535135,37.3486947899827,69.7570334433338,52.8995409753971,34.4028334055755,22.2735183672724,16.0224502083471,13.3684395267478,0,0
"Hybrid Entrepreneurs - 7",0,0,0,0,0,0,0,21.3290677095859,23.1823957344124,13.9753253180604,11.0676225949673,9.41576861869292,0,0,0,0,0,0,0,0,0,0,0,24.1765547053745
"Non-Entrepreneurs - 1",20.2972851126862,20.6234841667245,20.7403729105916,20.8818100386589,21.27065491971,21.3577413392033,21.5757957195259,22.1659360447942,22.3735862382325,22.4296592414412,22.5536707645876,23.3626135663746,25.2494689814526,25.3214199386332,25.468764018997,26.098471622085,26.5592658398377,26.4749668472417,26.2836491793195,26.8624165797643,27.4125107372036,28.5015992301529,28.13420541372,28.5555004672716
"Non-Entrepreneurs - 3",15.8872197461081,15.8977083884841,16.1553760955979,16.2413537331956,16.3866844664548,16.3735959054122,16.489057374712,16.4916745267649,16.4932339991291,16.2833357425267,16.236486869237,16.351154567016,16.0188993391672,15.9177671905406,16.0072238232956,15.9679993078408,16.2675309960287,16.083741042079,16.3109957809967,16.3303099017333,16.3382907560597,16.5664157729655,16.236032942389,16.3639391190671
"Non-Entrepreneurs - 4",19.649250308496,19.8182771812623,19.8997413901085,19.7925434575592,19.8473983018327,19.7977319144863,19.9633682846914,19.8186120889646,20.1171650898081,20.2025380085513,20.4531675165154,20.3612611288157,20.2181329910732,20.4988194199168,20.7326099366056,20.4150053915491,20.6175774083024,20.6435356730823,20.70678920506,20.3520671096201,20.3028930273776,20.0965279640803,20.487905297026,20.3264308267775
"Non-Entrepreneurs - 5",24.1271344944129,24.2261162864744,24.8250336114226,24.9646321468596,25.0131828034033,25.2358431272661,25.1521649043954,24.9074703994782,24.5386691514055,24.7885034513554,24.7179725643373,24.1845802476066,23.3186769199956,23.1120947523554,22.781232662674,22.8420745696891,22.5606223219804,22.7483762409185,22.6967079694193,22.2425637867072,21.9536860851909,21.4412469033026,21.4751912623258,21.4441587545488
"Non-Entrepreneurs - 6",6.2738752056063,5.95818518171815,5.58400826380665,5.42892152314638,5.2601967331399,5.11694869838204,5.04605277089333,5.1224588106232,5.16286575599905,5.16441302652312,4.93141168989612,4.91385465884122,4.61229485444742,4.5090892698371,4.42923570641337,4.31135429102171,4.05230202778093,4.11889471327881,4.18055577325396,4.33646835524799,4.50415274781116,4.19760577676702,4.27092495487883,4.23246245869789
