"entrepreneur_type","00","AZ","BE","FZ","GI","JZ","KZ","LZ","MN","OQ","RU"
"Hybrid Entrepreneurs",0,0.0833125575213372,0.00223711091927422,0.0109458504100281,0.00334533220140919,0.0358853566991449,0.00400969012204439,0.0132668172991211,0.0101205880241434,0.00659722429027912,0.0708134187397913
"Poly-Entrepreneurs",0.0483587985922406,0.166582494104508,0.0250489874159181,0.0607395162074353,0.0418518765968597,0.127845243824345,0.0329366561875564,0.100527870022573,0.0893466760385805,0.0522728045683339,0.220349970948046
"Non-Entrepreneurs",99.9516412014078,99.7501049483742,99.9727139016648,99.9283146333825,99.9548027912017,99.8362693994765,99.9630536536904,99.8862053126783,99.9005327359373,99.9411299711414,99.7088366103122
