"category_var","2013-Q1","2013-Q2","2013-Q3","2013-Q4","2014-Q1","2014-Q2","2014-Q3","2014-Q4","2015-Q1","2015-Q2","2015-Q3","2015-Q4","2016-Q1","2016-Q2","2016-Q3","2016-Q4","2017-Q1","2017-Q2","2017-Q3","2017-Q4","2018-Q1","2018-Q2","2018-Q3","2018-Q4","2019-Q1","2019-Q2","2019-Q3","2019-Q4","2020-Q1","2020-Q2","2020-Q3","2020-Q4"
"Hybrid Entrepreneurs - 15-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.5738983143111
"Hybrid Entrepreneurs - 30-39",0,100,57.6621293742563,56.328704306984,62.2057151661889,42.9878107501223,46.2528754552924,58.6396447131115,23.1823957344124,59.0701307222958,63.6289282316202,74.5459507417465,73.9797954420509,68.4440023539637,67.3211762587128,22.8950186772391,18.9194358386901,0,24.9171034578815,32.3573512120451,0,0,0,0,0,22.7831341944625,75.9349681547325,77.7264816327276,74.2358163735674,54.9449429383788,53.7467273630744,37.2495469803143
"Hybrid Entrepreneurs - 50-59",100,0,42.3378706257437,43.671295693016,37.7942848338111,57.0121892498777,53.7471245447076,41.3603552868885,76.8176042655876,40.9298692777042,36.3710717683798,25.4540492582535,26.0202045579491,31.5559976460363,32.6788237412872,77.1049813227609,81.0805641613099,100,75.0828965421185,67.6426487879549,100,100,100,100,100,77.2168658055375,24.0650318452675,22.2735183672724,25.7641836264326,45.0550570616212,46.2532726369256,24.1765547053745
"Non-Entrepreneurs - 15-29",18.7135912289153,18.883202509278,19.2588035410456,18.7295321756902,18.6096769242846,18.8655376992001,19.0310076757388,18.4605072790488,18.4891168226041,18.615695758779,18.9287874356445,18.5573519623248,18.4153280725305,18.7238207805385,18.9286823136805,18.4559798550228,18.5523673448153,18.5849376572771,19.0070726290799,18.6144885850097,18.5471872073386,18.7609380790487,18.9633131463697,18.8287350275704,18.6461254999613,18.7579688451521,18.7694163365954,18.4945350448884,18.2891020062874,17.5074928223986,18.3380689930304,18.2938651781127
"Non-Entrepreneurs - 30-39",53.1785237780831,53.0101511980215,52.6384588107892,52.9031251384092,52.8655339593957,52.4221308340905,52.138702620818,52.3200580146653,52.0889060259175,51.8948146971149,51.599353249572,51.7400818395103,51.7018920251683,51.4077525140176,51.1383406651471,51.4069570380241,51.2540877734685,51.139219216325,50.7890320290557,50.8576920737979,50.7261775683977,50.6478581870562,50.4589561271723,50.4108205803447,50.455810150638,50.2863401372647,50.3654920111292,50.2768038736691,50.38974482309,50.6744819552743,50.1993366007481,50.0739910094971
"Non-Entrepreneurs - 50-59",28.1078849930015,28.1066462927005,28.1027376481651,28.3673426859006,28.5247891163197,28.7123314667094,28.8302897034432,29.2194347062859,29.4219771514784,29.4894895441061,29.4718593147836,29.702566198165,29.8827799023012,29.8684267054439,29.9329770211724,30.1370631069531,30.1935448817162,30.2758431263979,30.2038953418644,30.5278193411924,30.7266352242637,30.5912037338951,30.577730726458,30.7604443920849,30.8980643494007,30.9556910175832,30.8650916522754,31.2286610814425,31.3211531706226,31.8180252223271,31.4625944062214,31.6321438123902
"Poly-Entrepreneurs - 15-29",24.7271714605287,11.9518855151201,12.9463846795639,28.5674297941781,22.5056828688359,29.8734989603929,21.5182093285986,14.5950660963267,10.2772332026923,3.29803547605743,25.0453999685395,7.96288046114142,6.4405803652945,20.3020184702693,22.5424545924745,18.8767478832937,13.3355597705392,13.4137336155211,7.50103543554821,2.69365554317627,9.16561406096261,2.70904228240703,3.41233540596665,12.222668140087,16.1215060343753,17.3322108648625,19.147757731621,24.915688122692,13.793882772829,7.3627146119809,20.6850264312129,19.778479915962
"Poly-Entrepreneurs - 30-39",41.0390791989516,40.0912768938907,61.5117952647764,36.9105935687403,36.7537229133891,29.3640885156579,47.098577326827,58.8297241688085,63.3191452151456,65.2716825562329,48.0441636581373,67.7756061749787,70.4140125449329,66.3184094901233,59.4255669614296,45.0619141203346,58.8667467973127,57.9300254763488,63.5629611341837,66.5102155509922,67.1955793209776,77.9157215553754,74.427454758592,58.5502822899595,56.6324649639643,57.4833622983196,54.3012113509162,47.6379181838486,57.413428625818,65.1876681144011,63.4710408934239,62.450377265758
"Poly-Entrepreneurs - 50-59",34.2337493405197,47.9568375909892,25.5418200556597,34.5219766370816,40.740594217775,40.7624125239493,31.3832133445744,26.5752097348648,26.4036215821621,31.4302819677096,26.9104363733232,24.2615133638799,23.1454070897726,13.3795720396075,18.0319784460959,36.0613379963717,27.7976934321481,28.65624090813,28.9360034302681,30.7961289058316,23.6388066180598,19.3752361622176,22.1602098354413,29.2270495699535,27.2460290016604,25.1844268368179,26.5510309174628,27.4463936934594,28.792688601353,27.449617273618,15.8439326753632,17.77114281828
