"date","year_quarter","transition_type","count","total_active","share"
2013-04-01,"2013-Q2","No transition",18678109.7778397,25661989.1286774,72.7851207643401
2013-04-01,"2013-Q2","wage_only → self_wage",57716.5348815918,25661989.1286774,0.224910604521663
2013-04-01,"2013-Q2","wage_only → wage_self",32976.1774902344,25661989.1286774,0.128502032032207
2013-04-01,"2013-Q2","self_wage → wage_only",28204.2341918945,25661989.1286774,0.109906656301932
2013-04-01,"2013-Q2","wage_wage → wage_only",28086.136428833,25661989.1286774,0.109446451278582
2013-04-01,"2013-Q2","wage_only → self_only",20687.5530090332,25661989.1286774,0.0806155473969662
2013-04-01,"2013-Q2","self_only → self_self",10559.9242782593,25661989.1286774,0.041150061381869
2013-04-01,"2013-Q2","wage_wage → self_wage",8847.27700805664,25661989.1286774,0.0344761934224724
2013-04-01,"2013-Q2","wage_self → wage_only",8342.68276977539,25661989.1286774,0.0325098835010121
2013-04-01,"2013-Q2","self_only → wage_wage",6965.04547119141,25661989.1286774,0.0271414871086822
2013-04-01,"2013-Q2","self_only → wage_only",6674.33670043945,25661989.1286774,0.0260086490839514
2013-04-01,"2013-Q2","wage_wage → self_only",3483.71206665039,25661989.1286774,0.013575378156315
2013-04-01,"2013-Q2","self_wage → wage_wage",2781.30442810059,25661989.1286774,0.0108382261957724
2013-04-01,"2013-Q2","wage_only → wage_wage",2777.71194458008,25661989.1286774,0.0108242269554856
2013-04-01,"2013-Q2","wage_wage → wage_self",1676.76959228516,25661989.1286774,0.0065340593197094
2013-04-01,"2013-Q2","self_self → self_only",1377.69683837891,25661989.1286774,0.00536862840783969
2013-04-01,"2013-Q2","wage_self → wage_wage",1141.41250610352,25661989.1286774,0.00444787230007818
2013-04-01,"2013-Q2","self_only → self_wage",814.750732421875,25661989.1286774,0.00317493210809363
2013-04-01,"2013-Q2","self_only → wage_self",717.474060058594,25661989.1286774,0.00279586300368592
2013-04-01,"2013-Q2","wage_self → self_only",622.166137695312,25661989.1286774,0.00242446575195545
2013-04-01,"2013-Q2","wage_self → self_wage",596.690490722656,25661989.1286774,0.00232519189268868
2013-04-01,"2013-Q2","wage_self → self_self",398.878967285156,25661989.1286774,0.0015543571672681
2013-07-01,"2013-Q3","No transition",18219547.9079094,25780577.6310539,70.6716046810491
2013-07-01,"2013-Q3","wage_only → self_wage",79863.9592285156,25780577.6310539,0.309783436086846
2013-07-01,"2013-Q3","self_wage → wage_only",53285.7280426025,25780577.6310539,0.206689426455741
2013-07-01,"2013-Q3","wage_wage → wage_only",29531.6810760498,25780577.6310539,0.114550114038087
2013-07-01,"2013-Q3","wage_only → wage_self",24115.6936340332,25780577.6310539,0.093542099712245
2013-07-01,"2013-Q3","self_only → wage_wage",11585.8528137207,25780577.6310539,0.0449402374901212
2013-07-01,"2013-Q3","wage_only → self_only",11184.6887054443,25780577.6310539,0.0433841664275662
2013-07-01,"2013-Q3","wage_self → wage_only",9750.12565612793,25780577.6310539,0.0378196555393834
2013-07-01,"2013-Q3","wage_wage → self_wage",7594.96801757812,25780577.6310539,0.029460038197242
2013-07-01,"2013-Q3","self_only → self_self",7588.47521972656,25780577.6310539,0.0294348533548212
2013-07-01,"2013-Q3","wage_only → wage_wage",6888.63739013672,25780577.6310539,0.0267202600683354
2013-07-01,"2013-Q3","self_only → wage_only",6172.02593994141,25780577.6310539,0.0239406037687337
2013-07-01,"2013-Q3","wage_wage → wage_self",5620.43902587891,25780577.6310539,0.0218010593335536
2013-07-01,"2013-Q3","self_wage → wage_wage",5293.92195129395,25780577.6310539,0.0205345358318006
2013-07-01,"2013-Q3","self_self → self_only",3684.94245910645,25780577.6310539,0.0142934829150909
2013-07-01,"2013-Q3","wage_wage → self_only",3404.10194396973,25780577.6310539,0.0132041337191348
2013-07-01,"2013-Q3","wage_self → self_only",2571.69979858398,25780577.6310539,0.00997533816110563
2013-07-01,"2013-Q3","wage_self → self_wage",1586.65383911133,25780577.6310539,0.00615445418569725
2013-07-01,"2013-Q3","self_only → self_wage",1016.87731933594,25780577.6310539,0.00394435428828818
2013-07-01,"2013-Q3","self_wage → wage_self",490.819976806641,25780577.6310539,0.00190383622830632
2013-07-01,"2013-Q3","wage_self → wage_wage",474.500579833984,25780577.6310539,0.00184053509826105
2013-10-01,"2013-Q4","No transition",17424003.9120321,25546928.6237211,68.2039088481791
2013-10-01,"2013-Q4","wage_only → self_wage",61895.878200531,25546928.6237211,0.242283051368683
2013-10-01,"2013-Q4","self_wage → wage_only",44304.4337615967,25546928.6237211,0.173423719203797
2013-10-01,"2013-Q4","wage_wage → wage_only",26745.0235595703,25546928.6237211,0.104689780730576
2013-10-01,"2013-Q4","wage_only → wage_self",24766.8257293701,25546928.6237211,0.0969463926335683
2013-10-01,"2013-Q4","wage_only → self_only",13611.166229248,25546928.6237211,0.0532790709588849
2013-10-01,"2013-Q4","wage_self → wage_only",12122.8104248047,25546928.6237211,0.0474531032804792
2013-10-01,"2013-Q4","self_only → self_self",10565.8963928223,25546928.6237211,0.0413587736844871
2013-10-01,"2013-Q4","self_only → wage_only",10491.4865722656,25546928.6237211,0.0410675064967456
2013-10-01,"2013-Q4","self_only → wage_wage",9933.68835449219,25546928.6237211,0.0388840807472584
2013-10-01,"2013-Q4","wage_wage → self_only",6461.48159790039,25546928.6237211,0.0252925965898723
2013-10-01,"2013-Q4","wage_only → wage_wage",4997.81527709961,25546928.6237211,0.0195632725589525
2013-10-01,"2013-Q4","wage_wage → self_wage",4466.95335388184,25546928.6237211,0.0174852852946641
2013-10-01,"2013-Q4","self_wage → wage_wage",3447.46315002441,25546928.6237211,0.0134946286530246
2013-10-01,"2013-Q4","self_self → self_only",1939.52600097656,25546928.6237211,0.00759201244714659
2013-10-01,"2013-Q4","wage_self → wage_wage",1500.88748168945,25546928.6237211,0.00587502123560886
2013-10-01,"2013-Q4","wage_self → self_only",1361.97247314453,25546928.6237211,0.00533125720592454
2013-10-01,"2013-Q4","wage_self → self_wage",1355.92810058594,25546928.6237211,0.00530759732630605
2013-10-01,"2013-Q4","wage_wage → wage_self",1072.76361083984,25546928.6237211,0.00419918819455952
2013-10-01,"2013-Q4","self_wage → wage_self",539.385131835938,25546928.6237211,0.00211135021270268
2013-10-01,"2013-Q4","self_only → wage_self",295.933990478516,25546928.6237211,0.00115839361685041
2014-01-01,"2014-Q1","No transition",17580289.9385929,25479720.2185993,68.9971859493179
2014-01-01,"2014-Q1","wage_only → self_wage",65634.0976409912,25479720.2185993,0.257593478569991
2014-01-01,"2014-Q1","self_wage → wage_only",33462.2297744751,25479720.2185993,0.13132887444364
2014-01-01,"2014-Q1","wage_only → wage_wage",27328.1051330566,25479720.2185993,0.107254337561792
2014-01-01,"2014-Q1","wage_only → wage_self",23982.7499694824,25479720.2185993,0.0941248560177511
2014-01-01,"2014-Q1","self_only → wage_only",16838.5387268066,25479720.2185993,0.0660860424774801
2014-01-01,"2014-Q1","wage_wage → wage_only",14893.9442596436,25479720.2185993,0.0584541122581538
2014-01-01,"2014-Q1","self_only → wage_wage",13815.628112793,25479720.2185993,0.0542220557928577
2014-01-01,"2014-Q1","wage_only → self_only",13606.9938354492,25479720.2185993,0.0534032309566593
2014-01-01,"2014-Q1","wage_self → wage_only",11906.9934082031,25479720.2185993,0.0467312564896668
2014-01-01,"2014-Q1","self_only → self_self",8419.27639770508,25479720.2185993,0.033043048846193
