"year_quarter","category","ddipl","share"
"2014-Q3","Poly-Entrepreneurs",6,11.4943579915765
"2014-Q3","Poly-Entrepreneurs",7,4.87307477908609
"2014-Q4","Hybrid Entrepreneurs",4,37.3105770035256
"2014-Q4","Hybrid Entrepreneurs",5,41.3603552868885
"2014-Q4","Hybrid Entrepreneurs",7,21.3290677095859
"2014-Q4","Non-Entrepreneurs",1,22.1659360447942
"2014-Q4","Non-Entrepreneurs",3,16.4916745267649
"2014-Q4","Non-Entrepreneurs",4,19.8186120889646
"2014-Q4","Non-Entrepreneurs",5,24.9074703994782
"2014-Q4","Non-Entrepreneurs",6,5.1224588106232
"2014-Q4","Non-Entrepreneurs",7,11.493848129375
"2014-Q4","Poly-Entrepreneurs",1,26.1621342959775
"2014-Q4","Poly-Entrepreneurs",3,13.1660835591285
"2014-Q4","Poly-Entrepreneurs",4,27.2196472911377
"2014-Q4","Poly-Entrepreneurs",5,11.1361810172636
"2014-Q4","Poly-Entrepreneurs",6,8.1862839867442
"2014-Q4","Poly-Entrepreneurs",7,14.1296698497484
"2015-Q1","Hybrid Entrepreneurs",1,29.8948220891256
"2015-Q1","Hybrid Entrepreneurs",5,46.922782176462
"2015-Q1","Hybrid Entrepreneurs",7,23.1823957344124
"2015-Q1","Non-Entrepreneurs",1,22.3735862382325
"2015-Q1","Non-Entrepreneurs",3,16.4932339991291
"2015-Q1","Non-Entrepreneurs",4,20.1171650898081
"2015-Q1","Non-Entrepreneurs",5,24.5386691514055
"2015-Q1","Non-Entrepreneurs",6,5.16286575599905
"2015-Q1","Non-Entrepreneurs",7,11.3144797654257
"2015-Q1","Poly-Entrepreneurs",1,21.4838261397985
"2015-Q1","Poly-Entrepreneurs",3,15.7015535249811
"2015-Q1","Poly-Entrepreneurs",4,24.950740433715
"2015-Q1","Poly-Entrepreneurs",5,20.8202624339541
"2015-Q1","Poly-Entrepreneurs",6,8.75567094292814
"2015-Q1","Poly-Entrepreneurs",7,8.28794652462324
"2015-Q2","Hybrid Entrepreneurs",1,15.7318935163994
"2015-Q2","Hybrid Entrepreneurs",3,21.761966147196
"2015-Q2","Hybrid Entrepreneurs",4,23.3328392570393
"2015-Q2","Hybrid Entrepreneurs",5,25.1979757613049
"2015-Q2","Hybrid Entrepreneurs",7,13.9753253180604
"2015-Q2","Non-Entrepreneurs",1,22.4296592414412
"2015-Q2","Non-Entrepreneurs",3,16.2833357425267
"2015-Q2","Non-Entrepreneurs",4,20.2025380085513
"2015-Q2","Non-Entrepreneurs",5,24.7885034513554
"2015-Q2","Non-Entrepreneurs",6,5.16441302652312
"2015-Q2","Non-Entrepreneurs",7,11.1315505296023
"2015-Q2","Poly-Entrepreneurs",1,22.3723180776388
"2015-Q2","Poly-Entrepreneurs",3,17.1256710891932
"2015-Q2","Poly-Entrepreneurs",4,16.9610260046415
"2015-Q2","Poly-Entrepreneurs",5,28.9709953683755
"2015-Q2","Poly-Entrepreneurs",6,10.8429229049282
"2015-Q2","Poly-Entrepreneurs",7,3.72706655522287
"2015-Q3","Hybrid Entrepreneurs",1,35.4791603405263
"2015-Q3","Hybrid Entrepreneurs",3,14.3846667987714
"2015-Q3","Hybrid Entrepreneurs",4,15.729215186652
"2015-Q3","Hybrid Entrepreneurs",5,23.339335079083
"2015-Q3","Hybrid Entrepreneurs",7,11.0676225949673
"2015-Q3","Non-Entrepreneurs",1,22.5536707645876
"2015-Q3","Non-Entrepreneurs",3,16.236486869237
"2015-Q3","Non-Entrepreneurs",4,20.4531675165154
"2015-Q3","Non-Entrepreneurs",5,24.7179725643373
"2015-Q3","Non-Entrepreneurs",6,4.93141168989612
"2015-Q3","Non-Entrepreneurs",7,11.1072905954265
"2015-Q3","Poly-Entrepreneurs",1,33.5029606913196
"2015-Q3","Poly-Entrepreneurs",4,27.9378674229632
"2015-Q3","Poly-Entrepreneurs",5,25.4654801666448
"2015-Q3","Poly-Entrepreneurs",6,7.00738636834254
"2015-Q3","Poly-Entrepreneurs",7,6.08630535072977
"2015-Q4","Hybrid Entrepreneurs",1,53.1494676334681
"2015-Q4","Hybrid Entrepreneurs",3,13.9387221802163
"2015-Q4","Hybrid Entrepreneurs",4,17.6113741940637
"2015-Q4","Hybrid Entrepreneurs",5,5.88466737355885
"2015-Q4","Hybrid Entrepreneurs",7,9.41576861869292
"2015-Q4","Non-Entrepreneurs",1,23.3626135663746
"2015-Q4","Non-Entrepreneurs",3,16.351154567016
"2015-Q4","Non-Entrepreneurs",4,20.3612611288157
"2015-Q4","Non-Entrepreneurs",5,24.1845802476066
"2015-Q4","Non-Entrepreneurs",6,4.91385465884122
"2015-Q4","Non-Entrepreneurs",7,10.8265358313459
"2015-Q4","Poly-Entrepreneurs",1,40.6680431821102
"2015-Q4","Poly-Entrepreneurs",3,3.49396633319191
"2015-Q4","Poly-Entrepreneurs",4,15.762279574347
"2015-Q4","Poly-Entrepreneurs",5,34.3792686987759
"2015-Q4","Poly-Entrepreneurs",7,5.69644221157503
"2018-Q1","Hybrid Entrepreneurs",1,14.472087151622
"2018-Q1","Hybrid Entrepreneurs",3,48.5491105987014
