"category_var","2013-Q1","2013-Q2","2013-Q3","2013-Q4","2014-Q1","2014-Q2","2014-Q3","2014-Q4","2015-Q1","2015-Q2","2015-Q3","2015-Q4","2016-Q1","2016-Q2","2016-Q3","2016-Q4","2017-Q1","2017-Q2","2017-Q3","2017-Q4","2018-Q1","2018-Q2","2018-Q3","2018-Q4","2019-Q1","2019-Q2","2019-Q3","2019-Q4","2020-Q1","2020-Q2","2020-Q3","2020-Q4"
"Hybrid Entrepreneurs - 1",0,0,0,0,13.2890579743559,34.0707482912253,0,0,46.922782176462,25.1979757613049,23.339335079083,12.9840041138099,9.90998220217006,13.637386347235,10.3521400543752,16.1039634729247,17.8559127662925,0,24.9171034578815,31.1026765707389,45.7645191428735,24.9452977921294,44.8390339975051,54.6471244725056,100,77.2168658055375,24.0650318452675,22.2735183672724,39.3882294585777,30.5368916079242,27.018411301618,0
"Hybrid Entrepreneurs - 2",0,30.2734741782117,59.1524624541712,64.0031209399976,38.9716640880488,37.1194414399521,53.7471245447076,41.3603552868885,29.8948220891256,15.7318935163994,13.0317366892968,12.4700451444436,16.1102223557791,17.9186112988013,12.2231798903951,44.0065115278552,62.0316558663447,42.8608155871836,0,0,0,0,0,0,0,0,40.2660404821478,31.9232872071468,12.374571173088,0,0,24.1765547053745
"Hybrid Entrepreneurs - 3",0,0,0,0,0,0,46.2528754552924,37.3105770035256,0,45.0948054042354,43.4769465454475,56.4770503523269,58.7635314596666,59.3771109662275,77.4246800552297,39.8895249992202,20.1124313673627,57.1391844128164,37.2096722338608,55.4001946958854,33.9851526402907,33.463377435648,34.3388915939893,19.9143218131377,0,22.7831341944625,35.6689276725847,25.1286315829077,12.6154645151215,0,21.9126196018581,19.729791572553
"Hybrid Entrepreneurs - 4",100,69.7265258217883,40.8475375458288,35.9968790600024,28.2048674104596,28.8098102688226,0,21.3290677095859,23.1823957344124,13.9753253180604,20.1519816861727,18.0689003894196,15.2162639823843,9.06689138773616,0,0,0,0,37.8732243082577,13.4971287333757,20.2503282168358,41.5913247722226,20.8220744085056,25.4385537143567,0,0,0,20.6745628426731,35.6217348532128,69.4631083920758,51.0689690965239,56.0936537220725
"Hybrid Entrepreneurs - 5",0,0,0,0,19.5344105271357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Non-Entrepreneurs - 0",0.149249231651396,0.124564980068952,0.0617510215246075,0.185682779273017,0.284430209505087,0.272335014933124,0.285563519727051,0.311629281320562,0.315679713372433,0.268062083638351,0.258248017176104,0.31084972609316,0.497591292886858,0.385440346881414,0.341434516866562,0.357882655347427,0.371132980170013,0.324395973377739,0.26312393863819,0.226702870604743,0.340105671625775,0.324281416021935,0.533492044963181,0.428213235248172,0.426046615936115,0.386984941751156,0.369011370430333,0.592537477172709,0.499581735720007,0.373103890274365,0.37668834695272,0.443410619873781
"Non-Entrepreneurs - 1",2.0232928704714,2.0416252820223,2.05412733692601,1.93783309350037,1.96808144087833,1.89807980398818,1.87413744697314,1.76571631348566,1.80495430167517,1.82306497925922,1.8259285762489,1.73644925116071,1.80872396776807,1.77270879598979,1.80787256880473,1.74667858064573,1.59877060594515,1.64823212971517,1.58120444132963,1.56682080750426,1.52985086791745,1.47792961739809,1.52093765804051,1.5124655296592,1.46515843540152,1.45094440227483,1.47966951222478,1.52398646584804,1.47533618610097,1.37249178591705,1.32480194173157,1.27070773959209
"Non-Entrepreneurs - 2",6.21815287557281,6.24977415358602,6.05439076339715,6.16041627930817,6.08502562448753,6.25017667578456,6.3386031111748,6.561589567705,6.42058440483959,6.28592542718693,6.27220528913459,6.4374635710326,6.39523073342172,6.39883721650935,6.67974072556592,6.53379344858024,6.49958890329449,6.38703938487474,6.41168397149448,6.35093453752953,6.33770670367766,6.52153149616037,6.45855162057957,6.40589819603804,6.65622696532344,6.79118225863263,6.65129478116974,6.64188004656234,6.8292878071004,6.96117077418584,6.72022922728066,6.57974356060287
"Non-Entrepreneurs - 3",17.8882963042308,17.7693358312772,17.205679879627,17.080648803085,16.9537809098599,16.8381366499383,17.0338302362495,17.3904020951756,17.8178436488189,17.5838615070733,17.4205745251464,17.8467696371133,18.032694365559,17.9323039020912,17.5810297370693,18.1902772273711,18.3094011074385,18.0864737704415,17.7437986930037,18.3567360467382,18.3866271775767,18.069571726086,18.156232895686,18.6891644246533,19.3039351054841,19.3494886719628,18.9532582173533,19.5168532344142,20.0099091087368,20.833670575689,20.2407927244031,20.4048622225473
"Non-Entrepreneurs - 4",25.10021705439,25.0149638520019,25.4141330040843,25.4015710763863,25.8564945042235,25.5833361305582,25.245463511251,25.6738188539847,25.4245662407093,25.3176146663667,25.2484213018828,25.623889607347,25.849942337998,25.8524708351081,25.56717269156,25.9695186822329,25.938131683664,25.879595679924,25.6600388208332,25.3260961660101,25.7587487798687,25.7985872093249,25.6623950761781,25.9480282934555,25.9629622184338,25.457281138102,25.4040143091215,25.5678118011621,25.6124944979863,26.137029936752,25.7781786339984,26.4594893369257
"Non-Entrepreneurs - 5",28.3521590117573,28.2506167109997,28.3956054151674,28.4051837785235,28.4819914756574,28.4888548824266,28.3795453113502,28.0537288767027,28.1641418670852,28.09340018748,28.1113996361027,27.8354649695928,27.5052225853799,27.3036830080908,27.3015904109824,26.8607925610931,26.8054807642916,27.0267865295725,27.1051981737891,27.2382237718528,27.1459588765829,27.2579205832919,27.4901605883573,26.9917658194854,26.743658055986,26.7601922882912,27.1797150640895,26.7320154416403,26.2173822712387,25.6146611465717,25.8083945478353,25.7142571650467
"Non-Entrepreneurs - 6",20.2686326519262,20.5491191900439,20.8143125792734,20.8286641899237,20.3701958353883,20.6690808423711,20.8428568632743,20.2431150116257,20.0522298234993,20.6280711489955,20.8632226543085,20.2091132376604,19.9105947169865,20.3545558953294,20.7211593491511,20.3410568447295,20.4774939551963,20.6474765320944,21.2349519609117,20.9344857997603,20.5010019227508,20.5501779517167,20.1782301161953,20.0244645014604,19.442012603435,19.8039262989854,19.9630367456109,19.4249155332002,19.3560083931168,18.70787189061,19.7509145777982,19.1275293554115
"Poly-Entrepreneurs - 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64547459677321,0,0,0,0
"Poly-Entrepreneurs - 1",0,0,0,0,0,0,1.35099391762487,1.40819210287895,1.44344145383898,0,1.50957625366607,0,25.0758413389511,17.1688740305469,17.3540125760823,23.167088763644,19.8541967248117,15.050006425725,0,0,0,0,0,0,2.59474008744074,2.75546105900874,2.11779868815793,2.13855884092702,2.8353087093485,2.29788415669895,0,0
"Poly-Entrepreneurs - 2",0,28.4336548055878,21.6732604137259,12.6352167371075,35.489280002369,39.8945808207802,40.7146425670619,39.960078735348,34.0177611162414,44.4267386214143,28.8032610172891,38.8576118268299,29.9018595603502,30.9222932451872,32.8367296917947,19.5294043222901,14.3932587258932,25.8781681034583,41.1027342748493,34.9864326333698,47.1116853378696,47.5021128164572,24.2196940543731,23.7204550585671,46.8562971485263,45.1031475493863,37.4414355473549,29.29343070247,46.0482102781241,34.0068052453922,33.2846327263192,26.8097686335932
"Poly-Entrepreneurs - 3",34.2337493405197,54.4315068804976,41.4469694216453,37.0326415904229,31.3526032569854,43.1088528722454,43.559846979322,34.3177445415854,39.2927869944698,28.3841782026678,31.7058835564515,29.3389684080391,13.0280636311556,9.11071577651384,9.81938239320331,9.44295915590509,10.2668159531032,21.9589244344135,16.0416061855362,20.4559843445975,24.0523819333922,19.5281374649137,17.1989905186409,45.1022208094839,16.3594569685766,26.155822763288,25.1042651495604,17.6271504692293,4.67545970361068,16.3309729270349,21.5091453008881,31.4531435271672
"Poly-Entrepreneurs - 4",9.84276237285184,5.18295279879447,11.0833581925689,36.8549256692898,26.7234757871687,11.5527054505291,10.5557931577942,21.2389328525452,21.8201209361075,23.256384869242,33.4225859407449,31.803419765131,25.9406586620116,35.6292343593153,30.5527114699695,34.052382047751,38.7787388527732,30.7268325006157,40.8759956122489,44.5575830220327,28.8359327287381,32.9697497186291,55.2937082838219,31.1773241319489,32.050835957606,25.985568628317,30.1399965758346,41.666193861415,46.4410213089167,47.364337670874,45.2062219727927,40.0429243277405
"Poly-Entrepreneurs - 5",24.7271714605287,11.9518855151201,12.9463846795639,8.09420100170703,6.43464095347687,5.44386085644526,0,3.07505176764251,3.42588949934223,3.93269830667596,3.00820301790412,0,6.05357680753148,7.1688825884368,9.43716386895017,8.40327580457918,13.1005212953576,6.38606853578753,1.97966392736552,0,0,0,0,0,2.13866983785041,0,5.1965040390922,5.62919152918548,0,0,0,1.69416351149922
"Poly-Entrepreneurs - 6",31.1963168260997,0,12.850027292496,5.38301500147278,0,0,3.81872337819698,0,0,0,1.55049021394436,0,0,0,0,5.40488990583057,3.60646844806103,0,0,0,0,0,3.28760714316419,0,0,0,0,0,0,0,0,0
