"paiperc","Hybrid Entrepreneurs","Non-Entrepreneurs","Poly-Entrepreneurs"
1,61.1296857314656,77.4837776935884,78.7939065779888
3,12.1115384026057,1.23471016441755,7.40836801791383
4,5.63537007172191,5.11753508790879,2.52987089270027
5,2.98734017328772,1.08634022873038,2.51977322262525
6,15.9879042076243,8.06630602941001,5.38856129518304
7,1.723396009218,2.64822355043425,0.598096209882147
9,0.424765404076738,0.644416006815566,0.332396939531777
8,0,0.936916312580164,0.798876447296597
10,0,1.22417224617407,1.42058525441094
99,0,1.55760267994083,0.209565142467356
